"skill","category","normalized_skill","resume_match_weight","aliases","skill_type","parent_skill"
"acca","Certifications","Acca","5","","hard","Certifications"
"acls","Certifications","Acls","5","","hard","Certifications"
"bls","Certifications","Bls","5","","hard","Certifications"
"ceh","Certifications","Ceh","5","","hard","Certifications"
"cissp","Certifications","Cissp","5","","hard","Certifications"
"cpa","Certifications","Cpa","5","","hard","Certifications"
"cpr","Certifications","Cpr","5","","hard","Certifications"
"lean","Certifications","Lean","5","","hard","Certifications"
"osha","Certifications","Osha","5","","hard","Certifications"
"aaarated","Domain-Specific / Other","Aaarated","2","","hard","Domain-Specific / Other"
"aacn","Domain-Specific / Other","Aacn","2","","hard","Domain-Specific / Other"
"aacsb","Domain-Specific / Other","Aacsb","2","","hard","Domain-Specific / Other"
"aama","Domain-Specific / Other","Aama","2","","hard","Domain-Specific / Other"
"aanp","Domain-Specific / Other","Aanp","2","","hard","Domain-Specific / Other"
"aashto","Domain-Specific / Other","Aashto","2","","hard","Domain-Specific / Other"
"abdominal","Domain-Specific / Other","Abdominal","2","","hard","Domain-Specific / Other"
"ablation","Domain-Specific / Other","Ablation","2","","hard","Domain-Specific / Other"
"ablations","Domain-Specific / Other","Ablations","2","","hard","Domain-Specific / Other"
"abms","Domain-Specific / Other","Abms","2","","hard","Domain-Specific / Other"
"aboriginal","Domain-Specific / Other","Aboriginal","2","","hard","Domain-Specific / Other"
"abpi","Domain-Specific / Other","Abpi","2","","hard","Domain-Specific / Other"
"abscess","Domain-Specific / Other","Abscess","2","","hard","Domain-Specific / Other"
"absence","Domain-Specific / Other","Absence","2","","hard","Domain-Specific / Other"
"absorption","Domain-Specific / Other","Absorption","2","","hard","Domain-Specific / Other"
"abstract","Domain-Specific / Other","Abstract","2","","hard","Domain-Specific / Other"
"abstracting","Domain-Specific / Other","Abstracting","2","","hard","Domain-Specific / Other"
"abstraction","Domain-Specific / Other","Abstraction","2","","hard","Domain-Specific / Other"
"aca","Domain-Specific / Other","Aca","2","","hard","Domain-Specific / Other"
